"campeon","nombre","pasiva","asignacionDeTecla","descripcion","linkVideo"
"AATROX","ASPECTO DE LA MUERTE","true","p","De forma periódica, el siguiente ataque básico de Aatrox inflige daño físico adicional y cura a Aatrox en función de la vida máxima del objetivo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0266/ability_0266_P1.mp4"
"AATROX","LA ESPADA DE LOS OSCUROS","false","Q","Aatrox golpea con su espadón e inflige daño físico. Puede atacar tres veces, cada vez con un área de efecto distinta.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0266/ability_0266_Q1.mp4"
"AATROX","CADENAS INFERNALES","false","W","Aatrox golpea el suelo, lo que inflige daño al primer enemigo impactado. Los campeones y monstruos grandes deben abandonar el área de impacto rápidamente para evitar ser arrastrados hacia el centro y volver a recibir daño.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0266/ability_0266_W1.mp4"
"AATROX","DESLIZAMIENTO SOMBRÍO","false","E","Aatrox se cura de forma pasiva cuando inflige daño a campeones enemigos. Al activarse, se desliza en una dirección.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0266/ability_0266_E1.mp4"
"AATROX","EL ANIQUILADOR DE MUNDOS","false","R","Aatrox libera su forma demoníaca, lo que aterroriza a los súbditos enemigos cercanos, además de aumentar su daño de ataque, curación y velocidad de movimiento. Si consigue un asesinato o asistencia, la duración de este efecto se alarga.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0266/ability_0266_R1.mp4"
"AHRI","ROBO DE ESENCIAS","true","p","Ahri se cura tras matar a 9 súbditos o monstruos. Ahri se cura más cantidad tras eliminar a un campeón enemigo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0103/ability_0103_P1.mp4"
"AHRI","ORBE DEL ENGAÑO","false","Q","Ahri lanza y recupera su orbe, lo que inflige daño mágico al lanzarlo y daño verdadero al recuperarlo.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0103/ability_0103_Q1.mp4"
"AHRI","FUEGO ZORRUNO","false","W","Ahri obtiene una breve mejora de velocidad de movimiento y lanza tres fuegos zorrunos que fijan y atacan a los enemigos cercanos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0103/ability_0103_W1.mp4"
"AHRI","HECHIZAR","false","E","Ahri lanza un beso que daña y hechiza al enemigo al que alcance primero, con lo que cancela instantáneamente todas sus habilidades de movimiento y hace que avance hacia ella de forma inofensiva.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0103/ability_0103_E1.mp4"
"AHRI","IMPULSO ESPIRITUAL","false","R","Ahri se desliza hacia delante y libera rayos de esencia que infligen daño a los enemigos cercanos. Impulso espiritual puede usarse hasta tres veces antes de entrar en enfriamiento y las eliminaciones de campeones enemigos otorgan lanzamientos adicionales.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0103/ability_0103_R1.mp4"
"AKALI","MARCA DEL ASESINO","true","p","Infligir daño de hechizo a un campeón crea un anillo de energía a su alrededor. Salir del anillo potencia el próximo ataque de Akali con alcance y daño adicional.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0084/ability_0084_P1.mp4"
"AKALI","PLENO DE CINCO PUNTAS","false","Q","Akali lanza cinco kunais que ralentizan e infligen daño en función de su daño de ataque y poder de habilidad adicionales.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0084/ability_0084_Q1.mp4"
"AKALI","VELO DEL CREPÚSCULO","false","W","Akali lanza una cortina de humo y obtiene brevemente velocidad de movimiento. Mientras se encuentra dentro del área, Akali se vuelve invisible, no puede ser seleccionada como objetivo de hechizos ni ataques enemigos. Si ataca o usa habilidades, se revela durante unos instantes.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0084/ability_0084_W1.mp4"
"AKALI","VOLTERETA SHURIKEN","false","E","Da una voltereta hacia atrás y lanza un shuriken hacia adelante que inflige daño mágico. La primera nube de humo o enemigo golpeado queda marcado. Puede volver a usarse para desplazarse hasta el objetivo marcado e infligir daño adicional.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0084/ability_0084_E1.mp4"
"AKALI","EJECUCIÓN PERFECTA","false","R","Akali salta hacia una dirección y daña a los enemigos golpeados. Relanzamiento: Akali se desliza hacia una dirección y ejecuta a todos los enemigos golpeados.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0084/ability_0084_R1.mp4"
"AKSHAN","ARTIMAÑAS","true","p","Cada tres impactos de ataques y habilidades contra campeones, Akshan inflige daño adicional y obtiene un escudo. Cuando Akshan ataca, lanza un ataque adicional que inflige daño reducido. Si cancela el ataque adicional, obtiene velocidad de movimiento.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0166/ability_0166_P1.mp4"
"AKSHAN","BUMERÁN VENGADOR","false","Q","Akshan lanza un bumerán que inflige daño a la ida y a la vuelta. Además, su alcance aumenta con cada enemigo golpeado.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0166/ability_0166_Q1.mp4"
"AKSHAN","REBELDE","false","W","Akshan marca de forma pasiva a los campeones enemigos como canallas cuando matan a sus aliados. Si Akshan mata a un canalla, revive a los aliados que haya asesinado, obtiene oro adicional y elimina todas las marcas. Al activarse, Akshan entra en estado de camuflaje y obtiene velocidad de movimiento y regeneración de maná mientras se mueve hacia los canallas. Akshan pierde el camuflaje rápidamente mientras no está en la maleza o cerca de un obstáculo del terreno.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0166/ability_0166_W1.mp4"
"AKSHAN","BALANCEO HEROICO","false","E","Akshan lanza un gancho hacia un obstáculo del terreno y ataca repetidamente al enemigo más cercano conforme se balancea. Se puede soltar de la cuerda cuando quiera o al chocar contra campeones u obstáculo del terreno.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0166/ability_0166_E1.mp4"
"AKSHAN","MERECIDO","false","R","Akshan fija a un campeón enemigo como objetivo y empieza a acumular balas. Cuando se lanza la habilidad, dispara todas las balas acumuladas, lo que inflige daño según la vida que le falte al primer campeón, súbdito o estructura golpeados.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0166/ability_0166_R1.mp4"
"ALISTAR","RUGIDO TRIUNFAL","true","p","Alistar carga su rugido al aturdir o desplazar a campeones enemigos o cuando los enemigos cercanos mueren. Cuando está cargado al máximo, se cura a sí mismo y a los campeones aliados cercanos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0012/ability_0012_P1.mp4"
"ALISTAR","PULVERIZACIÓN","false","Q","Alistar golpea con fuerza el suelo, lo que inflige daño a los enemigos cercanos y los lanza por los aires.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0012/ability_0012_Q1.mp4"
"ALISTAR","TESTARAZO","false","W","Alistar propina un cabezazo al objetivo, dañándolo y haciéndolo retroceder.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0012/ability_0012_W1.mp4"
"ALISTAR","PISOTEAR","false","E","Alistar pisotea a las unidades enemigas cercanas, ignora la colisión con unidades y obtiene acumulaciones si daña a un campeón enemigo. Con el máximo de acumulaciones, el siguiente ataque básico de Alistar contra un campeón enemigo inflige daño mágico adicional y lo aturde.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0012/ability_0012_E1.mp4"
"ALISTAR","VOLUNTAD INQUEBRANTABLE","false","R","Alistar profiere un gran rugido con el que elimina todos los efectos de control de adversario que le afectan y reduce el daño físico y mágico recibido mientras dura el efecto.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0012/ability_0012_R1.mp4"
"AMUMU","TOQUE MALDITO","true","p","Los ataques básicos de Amumu aplican una maldición a sus enemigos, lo que provoca que reciban daño verdadero adicional cada vez que se les inflige daño mágico.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0032/ability_0032_P1.mp4"
"AMUMU","LANZAMIENTO DE VENDAS","false","Q","Amumu lanza una venda adhesiva a un objetivo, causándole daño y aturdimiento mientras se acerca a él.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0032/ability_0032_Q1.mp4"
"AMUMU","DESESPERACIÓN","false","W","Abrumados por la angustia, los enemigos cercanos pierden cada segundo un porcentaje de su vida máxima y regeneran sus Maldiciones.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0032/ability_0032_W1.mp4"
"AMUMU","BERRINCHE","false","E","Reduce permanentemente el daño físico que recibe Amumu. Amumu puede desatar su furia para infligir daño a enemigos cercanos. Cada vez que recibe un golpe, se reduce el enfriamiento de Berrinche.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0032/ability_0032_E1.mp4"
"AMUMU","MALDICIÓN DE LA MOMIA TRISTE","false","R","Amumu envuelve en vendas a las unidades enemigas cercanas, les aplica su Maldición, les inflige daño y las aturde.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0032/ability_0032_R1.mp4"
"ANIVIA","RENACIMIENTO","true","p","Al recibir daño letal, Anivia vuelve a su estado de huevo y renace con toda la vida.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0034/ability_0034_P1.mp4"
"ANIVIA","DESTELLO HELADO","false","Q","Anivia junta las alas e invoca una esfera de hielo que vuela hacia sus enemigos, de modo que enfría y daña a cualquiera que se cruce en su camino. Al explotar, la esfera inflige daño moderado en un radio y aturde a los que se encuentren en la zona.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0034/ability_0034_Q1.mp4"
"ANIVIA","CRISTALIZACIÓN","false","W","Anivia condensa la humedad del aire en un muro de hielo infranqueable que bloquea todos los movimientos. El muro aguanta un breve periodo de tiempo antes de derretirse.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0034/ability_0034_W1.mp4"
"ANIVIA","CONGELACIÓN","false","E","Con un aleteo, Anivia lanza una ráfaga de viento congelado a su objetivo, lo que inflige daño. Si hace poco que el objetivo ha sido golpeado por Destello helado o dañado por una Tormenta glacial completamente formada, recibe el doble de daño.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0034/ability_0034_E1.mp4"
"ANIVIA","TORMENTA GLACIAL","false","R","Anivia invoca una lluvia de hielo y granizo que daña a sus enemigos y dificulta su movimiento.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0034/ability_0034_R1.mp4"
"ANNIE","PIROMANÍA","true","p","Después de 4 lanzamientos, el siguiente hechizo ofensivo de Annie aturdirá al objetivo. Annie comienza la partida y reaparece con Piromanía disponible.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0001/ability_0001_P1.mp4"
"ANNIE","DESINTEGRACIÓN","false","Q","Annie lanza una bola de fuego imbuida de maná que daña al objetivo y le devuelve el maná gastado si este resulta destruido.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0001/ability_0001_Q1.mp4"
"ANNIE","INCINERACIÓN","false","W","Annie lanza un abrasador cono de fuego, dañando a todos los enemigos de la zona.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0001/ability_0001_W1.mp4"
"ANNIE","ESCUDO FUNDIDO","false","E","Otorga a Annie o a un aliado un escudo y velocidad de movimiento adicional de forma temporal, y daña a los enemigos que le inflijan daño con ataques o hechizos.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0001/ability_0001_E1.mp4"
"ANNIE","INVOCAR: TIBBERS","false","R","Annie da vida a su oso Tibbers, que daña a todas las unidades de la zona. Tibbers puede atacar y quemar a los enemigos adyacentes.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0001/ability_0001_R1.mp4"
"APHELIOS","EL ASESINO Y LA VIDENTE","true","p","Aphelios empuña cinco armas de los Lunari creadas por su hermana Alune. Tiene acceso a dos a la vez, una como arma principal y otra como secundaria. Cada arma tiene un ataque básico y una habilidad únicos. Los ataques y las habilidades consumen la munición del arma. Cuando se queda sin munición, Aphelios descarta el arma y Alune invoca la siguiente de las 5.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0523/ability_0523_P1.mp4"
"APHELIOS","HABILIDADES DE LAS ARMAS","false","Q","Aphelios cuenta con 5 habilidades activas diferentes, en función del arma principal que tenga equipada: Calibrum (rifle): Disparo de largo alcance que marca a su objetivo para realizar un ataque consecutivo también a largo alcance. Severum (revólver guadaña): Corre mientras ataca a los enemigos cercanos con ambas armas. Gravitum (cañón): Inmoviliza a todos los enemigos ralentizados por esta arma. Infernum (lanzallamas): Impacta contra los enemigos en un arco y ataca con el arma secundaria. Crescendum (chakram): Despliega un centinela que dispara con el arma secundaria.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0523/ability_0523_Q1.mp4"
"APHELIOS","FASE","false","W","Aphelios cambia su arma principal por el arma secundaria, lo que reemplaza sus ataques básicos y su habilidad activa.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0523/ability_0523_W1.mp4"
"APHELIOS","SISTEMA DE COLA DE ARMAS","false","E","Aphelios no tiene tercera habilidad. Esta ranura muestra la siguiente arma que Alune le dará. Al comienzo, el orden de las armas es fijo, pero puede cambiar durante la partida: cuando un arma se queda sin munición, pasa a ser la última.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0523/ability_0523_E1.webm"
"APHELIOS","VIGILIA LUNAR","false","R","Dispara un rayo de luz lunar concentrado que explota al golpear a campeones enemigos. Aplica el efecto único del arma principal de Aphelios.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0523/ability_0523_R1.mp4"
"ASHE","TIRO CONGELADOR","true","p","Los ataques de Ashe ralentizan a sus objetivos, aumentando el subsiguiente daño que les inflija. Los golpes críticos de Ashe no infligen daño adicional al objetivo pero le aplican una ralentización más potente.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0022/ability_0022_P1.mp4"
"ASHE","CONCENTRACIÓN MÁXIMA","false","Q","Ashe acumula Concentración al atacar. Al alcanzar el nivel máximo, Ashe puede lanzar Concentración máxima para consumir todas las acumulaciones, aumentar temporalmente su velocidad de ataque y transformar su ataque básico en un poderoso ataque de ráfaga durante unos instantes.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0022/ability_0022_Q1.mp4"
"ASHE","DESCARGA","false","W","Ashe dispara flechas en un cono para causar más daño. También aplica Tiro congelador.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0022/ability_0022_W1.mp4"
"ASHE","DISPARO DE HALCÓN","false","E","Ashe puede enviar su Espíritu Halcón en misión de exploración para reconocer el terreno.","https://d28xe8vt774jo5.cloudfront.net/champion-abilities/0022/ability_0022_E1.mp4"
