"nombre","descripcion","historiasRelacionada"
"RUNATERRA","Esto no es una region como tal ya que es todo el continete donde estan las regiones del juego y el sitio donde Riot pone a los campeones que no tiene una region definida.","6"
"AGUAS ESTANCADAS","Aguas Estancadas es una ciudad portuaria muy particular enclavada en el archipiélago de las Islas de la Llama Azul. Alberga cazadores de serpientes, bandas portuarias y contrabandistas de todas partes del mundo. Aquí se puede hacer una fortuna en un instante, y los sueños de cualquiera pueden quedar hechos añicos con la misma rapidez. Para quienes huyen de la justicia, las deudas o son perseguidos, Aguas Estancadas es una ciudad para comenzar de nuevo; a nadie le importa tu pasado en sus retorcidas calles. Pese a todo y día tras día, el alba revela los cadáveres de viajeros despistados flotando en el muelle con las carteras vacías y los gaznates cercenados... Aunque se trata de un lugar extremadamente peligroso, en Aguas Estancadas abundan las oportunidades, pues no se ciñe a las encorsetadas normas comerciales ni gubernamentales. Mientras se tenga el dinero, no hay prácticamente nada que no se pueda comprar aquí, desde hextech ilegal hasta el favor de los amos del crimen locales. Tras la expulsión del último ""rey de los piratas"" de Aguas Estancadas, la ciudad ha iniciado un periodo de transición mientras los capitanes más notables tratan de acordar su futuro. Pero siempre que haya navíos y tripulaciones disponibles para navegar, Aguas Estancadas seguirá siendo uno de los lugares más coloridos y mejor conectados de toda Runaterra. ","0"
"CIUDAD DE BANDLE"," Se dice que en Ciudad de Bandle las sensaciones son más vívidas para quienes no son yordles. Los colores son más brillantes. La comida y la bebida intoxican los sentidos durante años y, una vez probadas, son imposibles de olvidar. La luz del sol es de un dorado perenne, las aguas son cristalinas y cada cosecha es abundante. Es posible que algunas de esas afirmaciones sean ciertas, o quizá ninguna lo sea, puesto que nadie es capaz de ponerse de acuerdo sobre lo visto allí. Solo una cosa se sabe con certeza, la condición atemporal de Ciudad de Bandle y sus habitantes. Eso podría explicar por qué a menudo los mortales que consiguen regresar han envejecido desmesuradamente, mientras que muchos otros no regresan nunca. ","1"
"DEMACIA","Demacia es un reino poderoso y honesto con una prestigiosa historia militar, y su gente siempre ha valorado profundamente los ideales de justicia, honor y deber, que coexisten con un feroz orgullo patriota. A pesar de sus principios nobles, esta nación autosuficiente se ha ido aislando cada vez más con el paso de los siglos. Ahora Demacia se halla sumida en el caos y los disturbios. La capital, la Gran ciudad de Demacia, se fundó para servir como refugio de la magia tras la pesadilla que supusieron las Guerras Rúnicas y se blindó con petricita, un tipo de piedra blanca muy inusual que absorbe la energía mágica. Desde entonces, la familia real quedó al cargo de la defensa de los pueblos, ciudades, tierras, bosques y montañas circundantes, unos territorios muy ricos en recursos minerales. No obstante, tras la repentina muerte del rey Jarvan III, las familias nobles de la región aún tienen que aceptar a su sucesor en el trono, el joven príncipe Jarvan. La desconfianza hacia todos aquellos que habitan más allá de los tan vigilados límites de la ciudad va en constante aumento y, durante estos tiempos difíciles, muchos antiguos aliados buscan protección en otros rincones. Los hay que creen que la edad de oro de Demacia ya ha terminado y que, si no se adapta al nuevo mundo (cosa que muchos consideran imposible), el declive del reino será inevitable. Al fin y al cabo, las amplias reservas de petricita de la nación no servirán para proteger a Demacia de sí misma. ","2"
"EL VACÍO","Comenzando a gritos su existencia junto al nacimiento del universo, el Vacío es una manifestación de la nada incognoscible que habita más allá. Es una fuerza de hambre insaciable que espera durante eones hasta que sus maestros, los misteriosos Vigilantes, marquen el momento de la destrucción definitiva. Ser un mortal tocado por este poder es sufrir un atisbo agónico de la irrealidad eterna, suficiente para minar incluso la mente más fuerte. Los habitantes del reino del Vacío son criaturas, a menudo con una sensibilidad limitada, pero con un objetivo singular: conducir a Runaterra a su desaparición total. ","0"
"FRELJORD","Freljord es un lugar duro e implacable en el que la gente nace lista para luchar por la supervivencia contra todo pronóstico. Las tribus de Freljord hacen gala de un orgullo y una independencia feroces, aunque sus vecinos de Valoran suelen considerarlos salvajes, brutos e incluso primitivos, dado que desconocen las tradiciones ancestrales que los moldearon. Hace miles de años, la alianza entre las hermanas Avarosa, Serylda y Lissandra se deshizo en una guerra que amenazó la existencia de toda Runaterra y sumió las islas del norte en un invierno incesante y caótico. Ahora solo los mortales más extraordinarios que parecen inmunes a los estragos del fuego o del hielo parecen destinados a guiar al resto, o al menos capaces. Pese a los esfuerzos de la Guardia de Hielo, los mitos y las leyendas resisten al paso de los dioses antiguos, los yetis enigmáticos y los chamanes caminantes espirituales. Los saqueadores de la Garra Invernal llegan más y más lejos cada año que pasa, y el hostigamiento no cesa en las fronteras de Demacia por el sur y las de Noxus por el este. Por último, en busca de un futuro más pacífico, las tribus y los clanes rebeldes independientes han empezado a ofrecer su lealtad a Ashe, la joven reina de los avarosanos. Pese a todo, los presagios son desalentadores. La guerra se cierne sobre Freljord y nadie podrá escapar de ella. ","1"
"ISLAS DE LA SOMBRA","Hubo una época en la que estas tierras acogieron a una civilización noble y cultivada conocida por sus aliados y emisarios como las Islas Bendecidas. Sin embargo, hace más de mil años, un cataclismo mágico sin precedentes hizo añicos la barrera que protegía el reino material del espiritual y lo convirtió en uno solo... lo que condenó a todos los seres vivos al instante. En la actualidad, una Niebla Negra funesta envuelve las islas, y la tierra está contaminada por la magia negra. Los mortales que osan adentrarse en las lúgubres orillas sienten que su energía vital se les escapa, algo que atrae a los espíritus insaciables e incesantes de los muertos. Aquellos que perecen en la niebla están condenados a morar ese lugar para siempre. Y lo que es peor, el poder de las Islas de la Sombra parece aumentar con más fuerza cada año que pasa, lo que permite que los poderosos espectros deambulen y lleguen cada vez más lejos por Runaterra. ","0"
"IXTAL","Famosa por su domino de la magia elemental, Ixtal fue una de las primeras naciones independientes en unirse al imperio de Shurima. En realidad, la cultura de Ixtal es mucho más antigua, pues formó parte de la gran diáspora occidental a partir de la cual se alzaron numerosas civilizaciones, entre las que figuran los Buhru, la magnífica ciudad de Helia y los ascetas de Targon. También se considera que desempeñó un papel importante en la creación de los primeros Ascendidos. Los magos de Ixtal sobrevivieron al Vacío y, más adelante, a los Oscuros. Con ese fin, se distanciaron de sus vecinos y se refugiaron en el abrigo de las tierras salvajes que los rodeaban. Mucho se había perdido, pero estaban decididos a proteger lo poco que habían conseguido conservar. Tras milenios recluida en lo más profundo de la selva, la sofisticada ciudad arcológica de Ixaocan sigue a día de hoy libre de toda influencia del mundo exterior. Los ciudadanos de Ixtal han presenciado desde su refugio la ruina de las Islas Bendecidas y las Guerras Rúnicas que siguieron, y consideran que el resto de las facciones de Runaterra no están a la altura de su grandeza. Su poderosa magia los ayuda a mantener a raya a los intrusos. ","4"
"JONIA","Jonia, rodeada por traicioneros mares, está formada por una serie de provincias aliadas desperdigadas a lo largo y ancho de un inmenso archipiélago que muchos conocen como las Tierras Primigenias. El equilibrio es una de las piedras angulares de la cultura jonia, por lo que los límites que separan el mundo material del espiritual son aquí más difusos que en el resto de Runaterra, especialmente en las profundidades de sus bosques y lo alto de sus cumbres. A pesar de que la magia del lugar es caprichosa y sus habitantes, místicos y peligrosos, Jonia prosperó durante siglos. Los monasterios de guerreros y las milicias provinciales, así como la propia naturaleza, eran suficiente defensa frente al mundo exterior. Sin embargo, esta paz llegó a su fin hace doce años, cuando Noxus atacó las Tierras Primigenias. Una infinidad de huestes del imperio arrasó el territorio jonio. Sus gentes tardaron años en expulsarlas, y el número de víctimas fue terrible. Ahora en Jonia reina una paz inestable. Las diferentes reacciones ante la guerra han dividido a la región: por un lado, algunos grupos, como los monjes Shojin o los Kinkou, buscan volver al aislamiento y el pacifismo previos a la invasión, y recuperar las tradiciones pastorales. No obstante, otros grupos más radicalizados, como la hermandad Navori y la Orden de la Sombra, buscan militarizar la magia de sus tierras para forjar una nación unida capaz de vengarse de Noxus. El destino de Jonia pende de un inestable hilo que pocos están dispuestos a cortar, pero cuya fragilidad todos perciben. ","1"
"NOXUS","Noxus es un poderoso imperio con una reputación aterradora. Para quienes no se encuentran en el interior de sus fronteras, Noxus es una civilización amenazante cuya expansión no se detiene. Quienes miran más allá de su exterior militarizado descubren una sociedad sorprendentemente inclusiva que respeta y cultiva la fuerza y el talento de sus habitantes. Los Noxii fueron unas tribus bárbaras temibles hasta que invadieron la ciudad ancestral que hoy en día es el corazón de sus dominios. Amenazados por todos los bandos, decidieron llevar la lucha a terreno enemigo, y cada año sus fronteras avanzan más y más. Esta lucha por la supervivencia ha convertido a los noxianos actuales en personas orgullosas que valoran la fuerza por encima de todo lo demás, aunque la fuerza se puede manifestar de formas muy distintas. Todo el mundo puede aspirar a una posición de respeto y poder en Noxus si demuestran que tienen las aptitudes necesarias sin importar el estatus social, el pasado, su lugar de origen o su riqueza. Aquellos que son capaces de emplear la magia están especialmente cotizados y se los tiene en alta estima, puesto que sus talentos especiales pueden ser perfeccionados y aprovechados para el beneficio del imperio. Pero a pesar de este ideal meritocrático, las antiguas casas nobles todavía ejercen un poder considerable... y algunos temen que la mayor amenaza para Noxus no provenga de sus enemigos, sino de dentro. ","3"
